workload_label,runs,windows,cls,fine,family,mechanism
adversarial_E_memory_minimal,6,98,ml_training,adversarial_E_memory_minimal,adversarial_e_memory_minimal,evade.dilution
adversarial_F_interleave_30,6,98,ml_training,adversarial_F_interleave_30,adversarial_f_interleave,evade.dilution
adversarial_F_interleave_50,9,155,ml_training,adversarial_F_interleave_50,adversarial_f_interleave,evade.dilution
adversarial_L_diluted_10,9,184,ml_training,adversarial_L_diluted_10,adversarial_l_diluted,evade.dilution
adversarial_L_diluted_10_mw8,3,57,ml_training,adversarial_L_diluted_10_mw8,adversarial_l_diluted,evade.dilution
adversarial_L_diluted_2,6,117,ml_training,adversarial_L_diluted_2,adversarial_l_diluted,evade.dilution
adversarial_L_diluted_20,9,198,ml_training,adversarial_L_diluted_20,adversarial_l_diluted,evade.dilution
adversarial_L_diluted_200_mw8,2,238,ml_training,adversarial_L_diluted_200_mw8,adversarial_l_diluted,evade.dilution
adversarial_L_diluted_5,6,117,ml_training,adversarial_L_diluted_5,adversarial_l_diluted,evade.dilution
whitebox_diluted_1b_N1_1h,1,240,ml_training,whitebox_diluted_1b_N1_1h,whitebox_diluted,evade.dilution
whitebox_diluted_3b_N1_1h,1,241,ml_training,whitebox_diluted_3b_N1_1h,whitebox_diluted,evade.dilution
whitebox_diluted_7b_N10_1h,1,241,ml_training,whitebox_diluted_7b_N10_1h,whitebox_diluted,evade.dilution
whitebox_diluted_7b_N1_1h,1,299,ml_training,whitebox_diluted_7b_N1_1h,whitebox_diluted,evade.dilution
whitebox_diluted_N10,3,57,ml_training,whitebox_diluted_N10,whitebox_diluted,evade.dilution
whitebox_diluted_N20,3,57,ml_training,whitebox_diluted_N20,whitebox_diluted,evade.dilution
whitebox_diluted_N5,3,57,ml_training,whitebox_diluted_N5,whitebox_diluted,evade.dilution
adversarial_H_mimicry_cufft,7,97,ml_training,adversarial_H_mimicry_cufft,adversarial_h_mimicry_cufft,evade.mimicry
adversarial_H_mimicry_mining,7,116,ml_training,adversarial_H_mimicry_mining,adversarial_h_mimicry_mining,evade.mimicry
adversarial_I_stochastic_30,9,154,ml_training,adversarial_I_stochastic_30,adversarial_i_stochastic,evade.mimicry
adversarial_J_pid_75,7,97,ml_training,adversarial_J_pid_75,adversarial_j_pid,evade.mimicry
adversarial_K_online_learning,6,117,ml_training,adversarial_K_online_learning,adversarial_k_online_learning,evade.online
symgemm_decode_g256_rep1,1,39,ml_inference,symgemm_decode_g256,symgemm_decode_g256,evade.symgemm-control
symgemm_decode_g256_rep2,1,39,ml_inference,symgemm_decode_g256,symgemm_decode_g256,evade.symgemm-control
symgemm_decode_g256_rep3,1,39,ml_inference,symgemm_decode_g256,symgemm_decode_g256,evade.symgemm-control
symgemm_idle,1,19,other,symgemm_idle,symgemm_idle,evade.symgemm-control
symgemm_L0_fwd1_rep1,1,39,ml_inference,symgemm_L0_fwd1,symgemm_l0_fwd1,evade.symgemm-control
symgemm_L0_fwd1_rep2,1,39,ml_inference,symgemm_L0_fwd1,symgemm_l0_fwd1,evade.symgemm-control
symgemm_L0_fwd1_rep3,1,39,ml_inference,symgemm_L0_fwd1,symgemm_l0_fwd1,evade.symgemm-control
symgemm_L0_fwd1_rep4,1,39,ml_inference,symgemm_L0_fwd1,symgemm_l0_fwd1,evade.symgemm-control
symgemm_L1_fwd3_7b_rep1,1,41,ml_inference,symgemm_L1_fwd3_7b,symgemm_l1_fwd3,evade.symgemm-control
symgemm_L1_fwd3_rep1,1,39,ml_inference,symgemm_L1_fwd3,symgemm_l1_fwd3,evade.symgemm-control
symgemm_L1_fwd3_rep2,1,39,ml_inference,symgemm_L1_fwd3,symgemm_l1_fwd3,evade.symgemm-control
symgemm_L1_fwd3_rep3,1,39,ml_inference,symgemm_L1_fwd3,symgemm_l1_fwd3,evade.symgemm-control
symgemm_L1_fwd3_rep4,1,39,ml_inference,symgemm_L1_fwd3,symgemm_l1_fwd3,evade.symgemm-control
symgemm_L1_fwd3_m8192_rep1,1,39,ml_inference,symgemm_L1_fwd3_m8192,symgemm_l1_fwd3_m8192,evade.symgemm-control
symgemm_L1_fwd3_m8192_rep2,1,39,ml_inference,symgemm_L1_fwd3_m8192,symgemm_l1_fwd3_m8192,evade.symgemm-control
