grp,acc,n_win,rep,level
evade.dilution,0.8220211161387632,663,3000,coarse
evade.util-shaping,0.4117647058823529,51,3000,coarse
infer.llm,0.03141062250142775,1751,3000,coarse
infer.whitebox-control,0.0,100,3000,coarse
other.idle,0.07692307692307693,104,3000,coarse
evade.online,1.0,60,3001,coarse
evade.symgemm-control,0.07368421052631578,190,3001,coarse
infer.llm,0.0633923472301542,1751,3001,coarse
other.sweep,0.3,10,3001,coarse
train.small-supervised,0.9246231155778895,199,3001,coarse
evade.online,1.0,60,3002,coarse
infer.vision,0.0,59,3002,coarse
other.hpc,0.7771428571428571,175,3002,coarse
other.media,0.8823529411764706,51,3002,coarse
train.ddp,0.9990749306197965,2162,3002,coarse
evade.dilution,0.832579185520362,663,3003,coarse
evade.mimicry,0.5609756097560976,246,3003,coarse
other.hpc,0.9485714285714286,175,3003,coarse
other.sweep,0.1,10,3003,coarse
train.lora-finetune,0.19824561403508772,570,3003,coarse
evade.whitebox,0.9,40,3004,coarse
infer.llm,0.058823529411764705,1751,3004,coarse
other.hpc,0.5485714285714286,175,3004,coarse
other.media,0.0,51,3004,coarse
other.mining,0.0,111,3004,coarse
evade.mimicry,0.8373983739837398,246,3005,coarse
evade.symgemm-control,0.39473684210526316,190,3005,coarse
other.hpc,0.9828571428571429,175,3005,coarse
train.lora-finetune,0.25087719298245614,570,3005,coarse
train.small-supervised,0.5628140703517588,199,3005,coarse
evade.dilution,0.583710407239819,663,3006,coarse
evade.online,0.08333333333333333,60,3006,coarse
other.fabric-bench,0.8181818181818182,11,3006,coarse
other.idle,0.6442307692307693,104,3006,coarse
train.ddp,0.22617946345975948,2162,3006,coarse
evade.mimicry,0.9146341463414634,246,3007,coarse
evade.online,1.0,60,3007,coarse
evade.symgemm-control,0.6578947368421053,190,3007,coarse
other.sweep,0.0,10,3007,coarse
other.unmapped,0.6666666666666666,3,3007,coarse
evade.util-shaping,1.0,51,3008,coarse
evade.whitebox,1.0,40,3008,coarse
other.fabric-bench,0.09090909090909091,11,3008,coarse
other.hpc,0.9542857142857143,175,3008,coarse
other.sweep,0.0,10,3008,coarse
evade.whitebox,1.0,40,3009,coarse
infer.whitebox-control,0.42,100,3009,coarse
other.hpc,0.9885714285714285,175,3009,coarse
train.fsdp,0.592741935483871,1240,3009,coarse
train.rl,0.2,60,3009,coarse
evade.dilution,0.8838612368024132,663,3010,coarse
evade.mimicry,0.6747967479674797,246,3010,coarse
other.sweep,0.0,10,3010,coarse
train.ddp,0.9727104532839963,2162,3010,coarse
train.fsdp,0.9653225806451613,1240,3010,coarse
evade.symgemm-train,0.6947368421052632,190,3011,coarse
other.media,0.9019607843137255,51,3011,coarse
other.sweep,0.0,10,3011,coarse
train.ddp,0.406567992599445,2162,3011,coarse
train.fsdp,0.2870967741935484,1240,3011,coarse
evade.symgemm-control,0.26842105263157895,190,3012,coarse
evade.symgemm-train,1.0,190,3012,coarse
evade.util-shaping,0.5882352941176471,51,3012,coarse
evade.whitebox,0.9,40,3012,coarse
infer.llm,0.0548258138206739,1751,3012,coarse
other.hpc,0.9314285714285714,175,3013,coarse
other.idle,0.7115384615384616,104,3013,coarse
other.media,0.23529411764705882,51,3013,coarse
other.unmapped,0.6666666666666666,3,3013,coarse
train.lora-finetune,0.24210526315789474,570,3013,coarse
evade.online,1.0,60,3014,coarse
infer.vision,0.1016949152542373,59,3014,coarse
other.hpc,0.9714285714285714,175,3014,coarse
other.mining,0.9459459459459459,111,3014,coarse
train.fsdp,0.4129032258064516,1240,3014,coarse
evade.mimicry,0.483739837398374,246,3015,coarse
evade.symgemm-control,0.0,190,3015,coarse
evade.util-shaping,0.6078431372549019,51,3015,coarse
train.ddp,0.9468085106382979,2162,3015,coarse
train.small-supervised,0.5326633165829145,199,3015,coarse
evade.online,1.0,60,3016,coarse
evade.util-shaping,1.0,51,3016,coarse
infer.llm,0.045688178183894916,1751,3016,coarse
other.media,0.0,51,3016,coarse
other.mining,0.0,111,3016,coarse
evade.dilution,0.2684766214177979,663,3017,coarse
evade.mimicry,0.17479674796747968,246,3017,coarse
other.hpc,0.9828571428571429,175,3017,coarse
train.ddp,0.599444958371878,2162,3017,coarse
train.lora-finetune,0.05964912280701754,570,3017,coarse
evade.util-shaping,1.0,51,3018,coarse
evade.whitebox,0.925,40,3018,coarse
other.media,0.8823529411764706,51,3018,coarse
train.ddp,0.9736355226641998,2162,3018,coarse
train.lora-finetune,0.1456140350877193,570,3018,coarse
evade.symgemm-control,0.05263157894736842,190,3019,coarse
evade.whitebox,0.975,40,3019,coarse
other.hpc,0.045714285714285714,175,3019,coarse
other.media,0.0784313725490196,51,3019,coarse
other.unmapped,1.0,3,3019,coarse
evade.dilution,0.9984917043740573,663,3020,coarse
infer.llm,0.11136493432324386,1751,3020,coarse
infer.whitebox-control,0.67,100,3020,coarse
other.hpc,0.005714285714285714,175,3020,coarse
train.lora-finetune,0.6070175438596491,570,3020,coarse
evade.symgemm-train,0.5684210526315789,190,3021,coarse
infer.llm,0.1856082238720731,1751,3021,coarse
other.hpc,0.8285714285714286,175,3021,coarse
other.sweep,0.0,10,3021,coarse
train.lora-finetune,0.5035087719298246,570,3021,coarse
evade.online,1.0,60,3022,coarse
evade.whitebox,0.975,40,3022,coarse
other.sweep,0.0,10,3022,coarse
other.unmapped,0.6666666666666666,3,3022,coarse
train.fsdp,0.6314516129032258,1240,3022,coarse
evade.mimicry,0.9146341463414634,246,3023,coarse
evade.symgemm-train,0.9368421052631579,190,3023,coarse
other.fabric-bench,0.45454545454545453,11,3023,coarse
other.sweep,0.0,10,3023,coarse
train.ddp,0.9643848288621647,2162,3023,coarse
evade.mimicry,0.8211382113821138,246,3024,coarse
evade.whitebox,1.0,40,3024,coarse
infer.vision,0.1016949152542373,59,3024,coarse
other.hpc,0.9714285714285714,175,3024,coarse
train.small-supervised,0.4321608040201005,199,3024,coarse
evade.symgemm-control,0.06315789473684211,190,3025,coarse
evade.util-shaping,1.0,51,3025,coarse
infer.vision,0.11864406779661017,59,3025,coarse
train.fsdp,0.5967741935483871,1240,3025,coarse
train.small-supervised,0.4824120603015075,199,3025,coarse
evade.mimicry,0.9308943089430894,246,3026,coarse
evade.symgemm-train,1.0,190,3026,coarse
other.mining,0.7747747747747747,111,3026,coarse
train.ddp,0.9967622571692877,2162,3026,coarse
train.lora-finetune,0.9859649122807017,570,3026,coarse
evade.online,1.0,60,3027,coarse
evade.symgemm-train,0.6526315789473685,190,3027,coarse
infer.vision,0.0847457627118644,59,3027,coarse
other.fabric-bench,0.0,11,3027,coarse
other.media,0.0,51,3027,coarse
evade.dilution,0.8069381598793364,663,3028,coarse
evade.symgemm-control,0.4421052631578947,190,3028,coarse
other.idle,0.6634615384615384,104,3028,coarse
other.sweep,0.0,10,3028,coarse
train.ddp,0.896854764107308,2162,3028,coarse
evade.whitebox,0.975,40,3029,coarse
infer.vision,0.13559322033898305,59,3029,coarse
other.fabric-bench,0.6363636363636364,11,3029,coarse
other.unmapped,0.3333333333333333,3,3029,coarse
train.lora-finetune,0.3105263157894737,570,3029,coarse
infer.llm,0.052541404911479156,1751,3030,coarse
infer.vision,0.05084745762711865,59,3030,coarse
other.sweep,0.0,10,3030,coarse
other.unmapped,1.0,3,3030,coarse
train.fsdp,1.0,1240,3030,coarse
evade.mimicry,0.5813008130081301,246,3031,coarse
evade.online,0.9333333333333333,60,3031,coarse
infer.whitebox-control,0.95,100,3031,coarse
other.idle,0.9326923076923077,104,3031,coarse
other.mining,0.21621621621621623,111,3031,coarse
evade.online,1.0,60,3032,coarse
infer.vision,0.06779661016949153,59,3032,coarse
infer.whitebox-control,0.33,100,3032,coarse
other.mining,0.0,111,3032,coarse
other.unmapped,1.0,3,3032,coarse
evade.symgemm-train,0.6526315789473685,190,3033,coarse
other.idle,0.4326923076923077,104,3033,coarse
other.sweep,0.0,10,3033,coarse
