grp,acc,n_win,rep,level
bert_finetune,0.6666666666666666,3,1000,family
cufft_benchmark,1.0,113,1000,family
ddp_training,1.0,2,1000,family
fsdp,0.7935483870967742,1240,1000,family
gpt2_finetune,0.0,3,1000,family
inference,0.0,3,1000,family
llm_infer_qwen25,0.864963503649635,822,1000,family
llm_train_phi3_mini_lora,0.9833333333333333,60,1000,family
llm_train_smollm2_1p7b_lora,0.95,60,1000,family
pytorch_mlp_cifar10,0.9736842105263158,38,1000,family
pytorch_resnet_cifar10,0.8028169014084507,71,1000,family
rendering,0.0,1,1000,family
resnet50_inference,0.018867924528301886,53,1000,family
symgemm_l4_sgdfused_short7b,1.0,10,1000,family
symgemm_l5_adam,1.0,40,1000,family
bert_sst2,0.3181818181818182,22,1001,family
cufft_benchmark,0.9469026548672567,113,1001,family
ddp_resnet18_cifar10,0.9895833333333334,480,1001,family
ddp_resnet50_cifar10,1.0,240,1001,family
llm_train_phi3_mini_lora,0.6666666666666666,60,1001,family
llm_train_qwen25_1p5b_lora,0.65,60,1001,family
nbody_sim,0.875,56,1001,family
nvlink_bandwidth,0.75,4,1001,family
rendering,0.0,1,1001,family
resnet,0.5,6,1001,family
symgemm_idle,1.0,10,1001,family
symgemm_l4_sgdfused,0.2,50,1001,family
symgemm_l4_sgdfused_m8192,0.85,20,1001,family
whitebox_lora,0.46296296296296297,270,1001,family
whitebox_oracle,1.0,40,1001,family
adversarial_e_memory_minimal,1.0,51,1002,family
adversarial_i_stochastic,0.9012345679012346,81,1002,family
adversarial_l_diluted,0.9,350,1002,family
bert_sst2,0.36363636363636365,22,1002,family
cufft_hpc,0.0,3,1002,family
gpt2_wikitext2,0.9555555555555556,45,1002,family
llm_infer_qwen25,0.4951338199513382,822,1002,family
nvlink_bandwidth,0.5,4,1002,family
nvlink_latency,0.0,4,1002,family
ppo_rlhf,0.7,60,1002,family
pytorch_mlp_cifar10,1.0,38,1002,family
rendering,0.0,1,1002,family
symgemm_l1_fwd3,0.98,50,1002,family
symgemm_l4_sgdfused,0.2,50,1002,family
whitebox_lora,0.5777777777777777,270,1002,family
adversarial_h_mimicry_cufft,0.8269230769230769,52,1003,family
adversarial_i_stochastic,0.9753086419753086,81,1003,family
adversarial_k_ddp,1.0,720,1003,family
bert_finetune,0.3333333333333333,3,1003,family
gpt2_finetune,0.0,3,1003,family
idle,0.5961538461538461,104,1003,family
