grp,acc,n_win,rep,level
adversarial_F_interleave_50,1.0,81,4000,fine
adversarial_L_ddp_10,1.0,240,4000,fine
bert_sst2,1.0,16,4000,fine
cufft_hpc,1.0,3,4000,fine
fsdp_70b_sgd_momentum,0.875,80,4000,fine
gpt2_finetune,0.6666666666666666,3,4000,fine
gpt2_wikitext2,1.0,33,4000,fine
llm_infer_qwen25_14b_fp16,0.991869918699187,123,4000,fine
llm_infer_qwen25_3b_bs16,0.5111111111111111,90,4000,fine
llm_train_qwen25_1p5b_lora,1.0,60,4000,fine
nvlink_p2p,1.0,3,4000,fine
ppo_rlhf_r32,0.7,30,4000,fine
pytorch_mlp_cifar10,0.9736842105263158,38,4000,fine
rendering_proxy,0.0,50,4000,fine
symgemm_L0_fwd1,0.925,40,4000,fine
symgemm_L1_fwd3_m8192,0.0,20,4000,fine
symgemm_L4_sgdfused,1.0,40,4000,fine
symgemm_L4_sgdfused_7b,1.0,10,4000,fine
symgemm_L4_sgdfused_short7b,0.9,10,4000,fine
training_dual_gpu_dp,0.5,8,4000,fine
training_single_gpu,0.4,5,4000,fine
whitebox_inference_1b_matched,0.0,10,4000,fine
whitebox_inference_7b,0.8,10,4000,fine
whitebox_lora_7b_N3_1h,1.0,10,4000,fine
whitebox_lora_7b_pilot_N2,0.9,10,4000,fine
whitebox_lora_7b_pilot_N3,1.0,10,4000,fine
whitebox_lora_7b_pilot_N5,1.0,10,4000,fine
whitebox_lora_7b_pilot_N8,1.0,10,4000,fine
width_sweep_dp,1.0,2,4000,fine
adversarial_E_memory_minimal,0.9803921568627451,51,4001,fine
adversarial_K_ddp,1.0,240,4001,fine
adversarial_L_diluted_2,1.0,60,4001,fine
batch_size_sweep_dp,0.5,2,4001,fine
bert_finetune,1.0,3,4001,fine
ddp_resnet18_cifar10_amp,1.0,240,4001,fine
fsdp_70b_adamw,1.0,8,4001,fine
fsdp_70b_sgd_momentum,1.0,80,4001,fine
inference,1.0,3,4001,fine
llm_infer_qwen25_72b_fp16,1.0,30,4001,fine
llm_infer_qwen25_72b_fp8,0.9444444444444444,90,4001,fine
llm_train_qwen25_3b_lora,0.9666666666666667,60,4001,fine
nvlink_p2p,0.6666666666666666,3,4001,fine
pytorch_mlp_cifar10,0.9736842105263158,38,4001,fine
pytorch_resnet_cifar10,0.6571428571428571,35,4001,fine
rendering,0.0,1,4001,fine
resnet50_inference,0.018867924528301886,53,4001,fine
symgemm_L1_fwd3_7b,0.4,10,4001,fine
symgemm_L4_sgdfused_short7b,0.9,10,4001,fine
whitebox_diluted_3b_N1_1h,0.9,10,4001,fine
whitebox_diluted_N20,1.0,30,4001,fine
whitebox_inference,0.9,30,4001,fine
whitebox_inference_7b,0.8,10,4001,fine
whitebox_inference_long,0.9,10,4001,fine
whitebox_lora_7b_N1_1h,1.0,10,4001,fine
whitebox_lora_7b_pilot_N6,1.0,10,4001,fine
whitebox_lora_7b_pilot_N7,1.0,10,4001,fine
whitebox_lora_N10,1.0,30,4001,fine
whitebox_lora_N20,1.0,30,4001,fine
adversarial_H_mimicry_cufft,0.8846153846153846,52,4002,fine
adversarial_K_ddp_accum_4,1.0,240,4002,fine
adversarial_L_ddp_5,1.0,240,4002,fine
adversarial_L_ddp_stagger_5,1.0,240,4002,fine
adversarial_L_diluted_10_mw8,1.0,30,4002,fine
adversarial_L_diluted_2,1.0,60,4002,fine
adversarial_L_diluted_200_mw8,1.0,20,4002,fine
cufft_benchmark,0.9823008849557522,113,4002,fine
ddp_resnet50_cifar10,1.0,240,4002,fine
fsdp_70b_adamw,0.25,8,4002,fine
fsdp_70b_nvlink,1.0,184,4002,fine
fsdp_70b_seq512_nvlink,1.0,80,4002,fine
llm_infer_phi3_mini,0.99,100,4002,fine
llm_infer_qwen25_14b_fp16,0.991869918699187,123,4002,fine
llm_infer_vit_l_bs64,0.9222222222222223,90,4002,fine
llm_train_qwen25_1p5b_lora,0.3333333333333333,60,4002,fine
resnet50_inference,0.0,53,4002,fine
resnet_amp,0.0,3,4002,fine
resnet_fp32,0.0,3,4002,fine
scientific_hpc,0.6666666666666666,3,4002,fine
