grp,acc,n_win,rep,level
adversarial_F_interleave_50|972b5cb1_20260412_230551,1.0,1,5000,job
adversarial_G_clock_throttled|26e4120c_20260825_045023,1.0,10,5000,job
adversarial_H_mimicry_cufft|3d49af99_20260413_013919,1.0,10,5000,job
adversarial_H_mimicry_cufft|983fad80_20260412_053508,1.0,1,5000,job
adversarial_H_mimicry_mining|26c55d63_20260412_230551,1.0,10,5000,job
adversarial_H_mimicry_mining|bedfd354_20260412_223016,1.0,10,5000,job
adversarial_H_mimicry_mining|bf6e3698_20260413_011721,1.0,10,5000,job
adversarial_I_stochastic_30|1319ffe7_20260726_002804,1.0,10,5000,job
adversarial_I_stochastic_30|5e185d96_20260412_053508,1.0,10,5000,job
adversarial_K_ddp_accum_4|6e24c995c923_20260412_064737,1.0,80,5000,job
adversarial_K_online_learning|1468f533_20260412_231132,1.0,10,5000,job
adversarial_K_online_learning|901b510d_20260825_061120,1.0,10,5000,job
adversarial_L_ddp_10|740abd236207_20260413_000621,1.0,80,5000,job
adversarial_L_ddp_10|a3adf2258b52_20260412_063635,1.0,80,5000,job
adversarial_L_diluted_10|5904fb3d_20260412_223541,1.0,10,5000,job
adversarial_L_diluted_10|9712fcda_20260825_065431,1.0,10,5000,job
adversarial_L_diluted_5|05e951a9_20260825_063819,1.0,10,5000,job
bert_finetune|2a2a5f3e_20260413_032846,1.0,1,5000,job
bert_finetune|d969416f_20260413_032846,1.0,1,5000,job
bert_sst2|19873577_20260412_224117,1.0,1,5000,job
bert_sst2|675c6c84_20260412_222753,1.0,2,5000,job
cufft_benchmark|2cf468dc_20260421_013631,1.0,10,5000,job
cufft_benchmark|f97558fa_20260412_231705,1.0,10,5000,job
cufft_hpc|cufft_hpc_58ecd2,1.0,1,5000,job
ddp_resnet50_cifar10|3477d94c3a9e_20260412_060843,1.0,80,5000,job
ddp_training|ddp_telemetry_gpu0,1.0,1,5000,job
ddp_training|ddp_telemetry_gpu1,1.0,1,5000,job
fsdp_13b_nvlink|cf8cfa835835_20260413_000312,1.0,80,5000,job
fsdp_30b_nvlink|2f237772ccc3_20260413_004957,1.0,80,5000,job
fsdp_30b_nvlink|cb97612d27e1_20260412_074412,1.0,10,5000,job
fsdp_30b_nvlink|cb97612d27e1_20260412_074413,1.0,70,5000,job
fsdp_70b_nvlink|c88e29e18a8a_20260413_010413,1.0,80,5000,job
fsdp_70b_seq512_nvlink|78349b23d251_20260413_013913,1.0,80,5000,job
fsdp_7b_nvlink|a2f8d14a4ed2_20260413_003114,1.0,80,5000,job
gpt2_finetune|f22ba689_20260413_032930,1.0,1,5000,job
gpt2_wikitext2_amp|025c9b24_20260412_224117,1.0,1,5000,job
gpt2_wikitext2_amp|f2bd8e13_20260412_231705,1.0,2,5000,job
gpt2_wikitext2_ext|ab0d938a_20260420_203614,1.0,6,5000,job
idle|3a7e56ce_20260412_223541,1.0,7,5000,job
idle|964c62f7_20260420_194932,0.0,7,5000,job
idle|9883933c_20260420_201152,0.0,7,5000,job
idle|b3e73340_20260419_233617,1.0,7,5000,job
idle|f63d327d_20260421_013426,0.0,7,5000,job
idle|idle_96fcac,1.0,1,5000,job
inference|inference_8fd998,1.0,1,5000,job
llm_infer_deepseek_v3_tp8|acb00ac39728_20260419_002311,0.4,50,5000,job
llm_infer_deepseek_v3_tp8|acb00ac39728_20260419_002312,0.4,30,5000,job
llm_infer_mistral_7b_q4|1039bea2_20260825_074800,1.0,10,5000,job
llm_infer_mistral_7b_q4|280943b7_20260421_011827,1.0,10,5000,job
llm_infer_mistral_7b_q4|afe01b8f_20260419_205857,1.0,1,5000,job
llm_infer_mistral_7b_q4|b0506bd3_20260419_205916,1.0,1,5000,job
llm_infer_mistral_7b_q4|ca02ad41_20260420_015354,1.0,1,5000,job
llm_infer_mixtral_8x7b|2136c735_20260421_001254,1.0,10,5000,job
llm_infer_mixtral_8x7b|74ae4709_20260421_001937,1.0,10,5000,job
llm_infer_mixtral_8x7b|7c6d4b81_20260421_000537,0.9,10,5000,job
llm_infer_mixtral_8x7b|d574e683_20260419_041135,1.0,10,5000,job
llm_infer_phi3_mini|3bce5480_20260420_210836,1.0,10,5000,job
llm_infer_phi3_mini|cd6a5e78_20260419_212123,1.0,10,5000,job
llm_infer_qwen25_14b_fp16|62b1513a_20260419_205946,1.0,1,5000,job
llm_infer_qwen25_14b_fp16|875f3c6d_20260420_232314,1.0,10,5000,job
llm_infer_qwen25_14b_fp16|a5960172_20260420_232931,1.0,10,5000,job
llm_infer_qwen25_14b_fp16|b9923a39_20260419_213654,1.0,10,5000,job
llm_infer_qwen25_14b_fp16|c2bcc1e0_20260419_213116,1.0,10,5000,job
llm_infer_qwen25_32b_fp16|0e1acfb8_20260824_214418,1.0,10,5000,job
llm_infer_qwen25_32b_fp16|463349dc_20260420_000940,0.9,10,5000,job
llm_infer_qwen25_3b_bs16|0765cbf1_20260420_215052,1.0,10,5000,job
llm_infer_qwen25_3b_bs16|301efde2_20260419_225807,1.0,10,5000,job
llm_infer_qwen25_3b_bs16|72bf234c_20260419_230326,1.0,10,5000,job
llm_infer_qwen25_3b_bs16|ee6ca6af_20260420_214537,1.0,10,5000,job
llm_infer_qwen25_3b_bs4|27632d17_20260420_214020,1.0,10,5000,job
llm_infer_qwen25_3b_bs4|dbfd03f1_20260419_023515,1.0,10,5000,job
llm_infer_qwen25_3b|1fd463ca_20260419_021328,1.0,10,5000,job
llm_infer_qwen25_3b|df5ce46a_20260419_020809,1.0,10,5000,job
llm_infer_qwen25_72b_fp8|1949bd09_20260420_003236,0.8,10,5000,job
llm_infer_qwen25_72b_fp8|cd098693_20260420_004709,1.0,10,5000,job
llm_infer_qwen25_72b_tp2|d667bcd68796_20260419_045202,1.0,20,5000,job
llm_infer_qwen25_7b_fp16|5ff414f8_20260419_211038,1.0,10,5000,job
llm_infer_qwen25_7b_fp16|87b75337_20260824_200626,1.0,2,5000,job
llm_infer_sdxl|212903bb_20260420_223849,1.0,10,5000,job
llm_infer_sdxl|81e16ec3_20260419_025634,1.0,10,5000,job
