grp,acc,n_win,rep,level
adversarial_E_memory_minimal_NVIDIA_H200_NVL_72186530_20260825_040712,1.0,10,6000,run
adversarial_F_interleave_30_NVIDIA_A100_SXM4_80GB_314da66d_20260412_053508,1.0,1,6000,run
adversarial_F_interleave_30_NVIDIA_B200_ff338fa1_20260412_230551,1.0,10,6000,run
adversarial_F_interleave_30_NVIDIA_H200_NVL_df47671a_20260825_041800,1.0,10,6000,run
adversarial_G_clock_throttled_NVIDIA_A100_SXM4_80GB_d38b3081_20260412_053508,1.0,10,6000,run
adversarial_G_clock_throttled_NVIDIA_B200_4471bfa7_20260412_230551,1.0,1,6000,run
adversarial_H_mimicry_cufft_NVIDIA_B200_ce9f5c9f_20260412_230551,1.0,1,6000,run
adversarial_I_stochastic_30_NVIDIA_A100_SXM4_80GB_0790698e_20260726_000437,1.0,10,6000,run
adversarial_J_pid_75_NVIDIA_A100_SXM4_80GB_6aa98cf6_20260412_053508,1.0,1,6000,run
adversarial_J_pid_75_NVIDIA_H200_c205c1d2_20260413_014428,1.0,10,6000,run
adversarial_J_pid_75_NVIDIA_H200_e3f49bde_20260412_223016,1.0,10,6000,run
adversarial_K_ddp_accum_4_gpu0_NVIDIA_B200_ccdbb46fc1a0_20260413_001726,1.0,10,6000,run
adversarial_K_ddp_accum_4_gpu1_NVIDIA_B200_ccdbb46fc1a0_20260413_001726,1.0,10,6000,run
adversarial_K_ddp_accum_4_gpu2_NVIDIA_H200_b28bb647b0ef_20260412_234110,1.0,10,6000,run
adversarial_K_ddp_accum_4_gpu6_NVIDIA_B200_ccdbb46fc1a0_20260413_001726,1.0,10,6000,run
adversarial_K_ddp_accum_4_gpu6_NVIDIA_H200_b28bb647b0ef_20260412_234110,1.0,10,6000,run
adversarial_K_ddp_accum_8_gpu0_NVIDIA_A100_SXM4_80GB_4e915a9d238b_20260412_065453,1.0,10,6000,run
adversarial_K_ddp_accum_8_gpu0_NVIDIA_B200_036fb65cffea_20260413_002258,1.0,10,6000,run
adversarial_K_ddp_accum_8_gpu2_NVIDIA_A100_SXM4_80GB_4e915a9d238b_20260412_065453,1.0,10,6000,run
adversarial_K_ddp_accum_8_gpu2_NVIDIA_H200_73431dec5f44_20260412_234640,1.0,10,6000,run
adversarial_K_ddp_accum_8_gpu4_NVIDIA_H200_73431dec5f44_20260412_234640,1.0,10,6000,run
adversarial_K_ddp_accum_8_gpu7_NVIDIA_A100_SXM4_80GB_4e915a9d238b_20260412_065453,1.0,10,6000,run
adversarial_K_ddp_accum_8_gpu7_NVIDIA_H200_73431dec5f44_20260412_234640,1.0,10,6000,run
adversarial_K_ddp_gpu0_NVIDIA_A100_SXM4_80GB_af5daab2a59a_20260412_062347,1.0,10,6000,run
adversarial_K_ddp_gpu0_NVIDIA_H200_2b7d13785ecf_20260412_231725,1.0,10,6000,run
adversarial_K_ddp_gpu1_NVIDIA_A100_SXM4_80GB_af5daab2a59a_20260412_062347,1.0,10,6000,run
adversarial_K_ddp_gpu1_NVIDIA_B200_41b734487b5e_20260412_235331,1.0,10,6000,run
adversarial_K_ddp_gpu4_NVIDIA_B200_41b734487b5e_20260412_235331,1.0,10,6000,run
adversarial_K_ddp_gpu4_NVIDIA_H200_2b7d13785ecf_20260412_231725,1.0,10,6000,run
adversarial_K_ddp_gpu5_NVIDIA_B200_41b734487b5e_20260412_235331,1.0,10,6000,run
adversarial_K_ddp_gpu7_NVIDIA_B200_41b734487b5e_20260412_235331,1.0,10,6000,run
adversarial_K_online_learning_NVIDIA_H200_5e90b4fe_20260412_223541,1.0,10,6000,run
adversarial_L_ddp_10_gpu0_NVIDIA_H200_4f087fae7c56_20260412_233011,1.0,10,6000,run
adversarial_L_ddp_10_gpu4_NVIDIA_B200_740abd236207_20260413_000621,1.0,10,6000,run
adversarial_L_ddp_10_gpu5_NVIDIA_B200_740abd236207_20260413_000621,1.0,10,6000,run
adversarial_L_ddp_10_gpu5_NVIDIA_H200_4f087fae7c56_20260412_233011,1.0,10,6000,run
adversarial_L_ddp_5_gpu1_NVIDIA_H200_7f7c7caec1c9_20260412_232441,1.0,10,6000,run
adversarial_L_ddp_5_gpu2_NVIDIA_A100_SXM4_80GB_eb1c85843b4a_20260412_062919,1.0,10,6000,run
adversarial_L_ddp_stagger_5_gpu0_NVIDIA_H200_9018a40f5999_20260412_233540,1.0,10,6000,run
adversarial_L_ddp_stagger_5_gpu4_NVIDIA_H200_9018a40f5999_20260412_233540,1.0,10,6000,run
adversarial_L_ddp_stagger_5_gpu5_NVIDIA_H200_9018a40f5999_20260412_233540,1.0,10,6000,run
adversarial_L_ddp_stagger_5_gpu7_NVIDIA_A100_SXM4_80GB_8e9728362385_20260412_064206,1.0,10,6000,run
adversarial_L_diluted_10_NVIDIA_B200_6ef8b233_20260412_231132,1.0,10,6000,run
adversarial_L_diluted_10_NVIDIA_H200_NVL_7a3fb3e9_20260825_070518,1.0,10,6000,run
adversarial_L_diluted_10_mw8_NVIDIA_A100_SXM4_80GB_51a40fcc_20260726_171309,1.0,10,6000,run
adversarial_L_diluted_20_NVIDIA_B200_02cfd70b_20260412_231132,1.0,10,6000,run
adversarial_L_diluted_20_NVIDIA_H200_NVL_951bef7b_20260825_072130,1.0,10,6000,run
adversarial_L_diluted_20_NVIDIA_H200_NVL_c1b0e51f_20260825_071606,1.0,10,6000,run
adversarial_L_diluted_2_NVIDIA_H200_354119ef_20260412_223541,1.0,10,6000,run
adversarial_L_diluted_5_NVIDIA_B200_2471d189_20260412_231132,1.0,10,6000,run
adversarial_L_diluted_5_NVIDIA_H200_NVL_05e951a9_20260825_063819,1.0,10,6000,run
adversarial_training_NVIDIA_B200_b1c5e184_20260413_033330,0.0,1,6000,run
bert_finetune_2gpu_gpu1_NVIDIA_B200_d969416f_20260413_032846,0.0,1,6000,run
bert_finetune_NVIDIA_B200_9311265c_20260413_032824,0.0,1,6000,run
bert_sst2_NVIDIA_H200_675c6c84_20260412_222753,1.0,2,6000,run
bert_sst2_amp_NVIDIA_B200_e682e23c_20260412_231705,1.0,1,6000,run
bert_sst2_amp_ext_NVIDIA_B200_550d0003_20260420_205051,1.0,1,6000,run
cufft_benchmark_2gpu_gpu1_NVIDIA_B200_15fa4bd9_20260413_033141,1.0,1,6000,run
cufft_benchmark_NVIDIA_B200_227faa64_20260413_033119,1.0,1,6000,run
