path,top,stem,n_rows,workload_label,gpu_name,run_id,threeway,ncols,has_nvlink,schema_key
data/adversarial_A_util_modulation_AMD_Radeon_RX_9070_XT_bc2a0acd_20260514_161345.parquet,data,adversarial_A_util_modulation_AMD_Radeon_RX_9070_XT_bc2a0acd_20260514_161345,311,adversarial_A_util_modulation,AMD Radeon RX 9070 XT,bc2a0acd8e56,ml_training,26,0,decoder_util_pct|driver_version|encoder_util_pct|fan_speed_pct|gpu_name|gpu_utilization_pct|gpu_uuid|mem_clock_mhz|mem_total_mb|mem_used_mb|mem_utilization_pct|mm_combined|pcie_rx_mbps|pcie_tx_mbps|power_draw_w|power_limit_w|run_id|sm_clock_mhz|temperature_c|temperature_hotspot_c|temperature_vram_c|throttle_status|timestamp_epoch|timestamp_utc|vendor|workload_label
data/adversarial_A_util_modulation_AMD_Radeon_RX_9070_XT_f4735d95_20260514_230216.parquet,data,adversarial_A_util_modulation_AMD_Radeon_RX_9070_XT_f4735d95_20260514_230216,311,adversarial_A_util_modulation,AMD Radeon RX 9070 XT,f4735d95fa4a,ml_training,26,0,decoder_util_pct|driver_version|encoder_util_pct|fan_speed_pct|gpu_name|gpu_utilization_pct|gpu_uuid|mem_clock_mhz|mem_total_mb|mem_used_mb|mem_utilization_pct|mm_combined|pcie_rx_mbps|pcie_tx_mbps|power_draw_w|power_limit_w|run_id|sm_clock_mhz|temperature_c|temperature_hotspot_c|temperature_vram_c|throttle_status|timestamp_epoch|timestamp_utc|vendor|workload_label
data/adversarial_A_util_modulation_AMD_Radeon_RX_9070_XT_fc82ad38_20260514_230727.parquet,data,adversarial_A_util_modulation_AMD_Radeon_RX_9070_XT_fc82ad38_20260514_230727,311,adversarial_A_util_modulation,AMD Radeon RX 9070 XT,fc82ad384f11,ml_training,26,0,decoder_util_pct|driver_version|encoder_util_pct|fan_speed_pct|gpu_name|gpu_utilization_pct|gpu_uuid|mem_clock_mhz|mem_total_mb|mem_used_mb|mem_utilization_pct|mm_combined|pcie_rx_mbps|pcie_tx_mbps|power_draw_w|power_limit_w|run_id|sm_clock_mhz|temperature_c|temperature_hotspot_c|temperature_vram_c|throttle_status|timestamp_epoch|timestamp_utc|vendor|workload_label
data/adversarial_A_util_modulation_NVIDIA_GeForce_RTX_4050_Laptop_GPU_51d0419c_20260410_081549.parquet,data,adversarial_A_util_modulation_NVIDIA_GeForce_RTX_4050_Laptop_GPU_51d0419c_20260410_081549,7,adversarial_A_util_modulation,NVIDIA GeForce RTX 4050 Laptop GPU,51d0419c02eb,ml_training,20,0,decoder_util_pct|driver_version|encoder_util_pct|fan_speed_pct|gpu_name|gpu_utilization_pct|gpu_uuid|mem_clock_mhz|mem_total_mb|mem_used_mb|mem_utilization_pct|pcie_rx_mbps|pcie_tx_mbps|power_draw_w|run_id|sm_clock_mhz|temperature_c|timestamp_epoch|timestamp_utc|workload_label
data/adversarial_A_util_modulation_NVIDIA_GeForce_RTX_4050_Laptop_GPU_f0a01f07_20260410_081626.parquet,data,adversarial_A_util_modulation_NVIDIA_GeForce_RTX_4050_Laptop_GPU_f0a01f07_20260410_081626,7,adversarial_A_util_modulation,NVIDIA GeForce RTX 4050 Laptop GPU,f0a01f076302,ml_training,20,0,decoder_util_pct|driver_version|encoder_util_pct|fan_speed_pct|gpu_name|gpu_utilization_pct|gpu_uuid|mem_clock_mhz|mem_total_mb|mem_used_mb|mem_utilization_pct|pcie_rx_mbps|pcie_tx_mbps|power_draw_w|run_id|sm_clock_mhz|temperature_c|timestamp_epoch|timestamp_utc|workload_label
data/adversarial_A_util_modulation_NVIDIA_GeForce_RTX_4050_Laptop_GPU_fe408b1e_20260410_081606.parquet,data,adversarial_A_util_modulation_NVIDIA_GeForce_RTX_4050_Laptop_GPU_fe408b1e_20260410_081606,7,adversarial_A_util_modulation,NVIDIA GeForce RTX 4050 Laptop GPU,fe408b1e7b14,ml_training,20,0,decoder_util_pct|driver_version|encoder_util_pct|fan_speed_pct|gpu_name|gpu_utilization_pct|gpu_uuid|mem_clock_mhz|mem_total_mb|mem_used_mb|mem_utilization_pct|pcie_rx_mbps|pcie_tx_mbps|power_draw_w|run_id|sm_clock_mhz|temperature_c|timestamp_epoch|timestamp_utc|workload_label
data/adversarial_A_util_modulation_NVIDIA_GeForce_RTX_5080_1fb8b287_20260411_221512.parquet,data,adversarial_A_util_modulation_NVIDIA_GeForce_RTX_5080_1fb8b287_20260411_221512,305,adversarial_A_util_modulation,NVIDIA GeForce RTX 5080,1fb8b2873aad,ml_training,20,0,decoder_util_pct|driver_version|encoder_util_pct|fan_speed_pct|gpu_name|gpu_utilization_pct|gpu_uuid|mem_clock_mhz|mem_total_mb|mem_used_mb|mem_utilization_pct|pcie_rx_mbps|pcie_tx_mbps|power_draw_w|run_id|sm_clock_mhz|temperature_c|timestamp_epoch|timestamp_utc|workload_label
data/adversarial_A_util_modulation_NVIDIA_GeForce_RTX_5080_72f4dd78_20260410_140038.parquet,data,adversarial_A_util_modulation_NVIDIA_GeForce_RTX_5080_72f4dd78_20260410_140038,306,adversarial_A_util_modulation,NVIDIA GeForce RTX 5080,72f4dd78ba61,ml_training,20,0,decoder_util_pct|driver_version|encoder_util_pct|fan_speed_pct|gpu_name|gpu_utilization_pct|gpu_uuid|mem_clock_mhz|mem_total_mb|mem_used_mb|mem_utilization_pct|pcie_rx_mbps|pcie_tx_mbps|power_draw_w|run_id|sm_clock_mhz|temperature_c|timestamp_epoch|timestamp_utc|workload_label
data/adversarial_A_util_modulation_NVIDIA_GeForce_RTX_5080_8f19b5bc_20260410_140602.parquet,data,adversarial_A_util_modulation_NVIDIA_GeForce_RTX_5080_8f19b5bc_20260410_140602,305,adversarial_A_util_modulation,NVIDIA GeForce RTX 5080,8f19b5bc78c2,ml_training,20,0,decoder_util_pct|driver_version|encoder_util_pct|fan_speed_pct|gpu_name|gpu_utilization_pct|gpu_uuid|mem_clock_mhz|mem_total_mb|mem_used_mb|mem_utilization_pct|pcie_rx_mbps|pcie_tx_mbps|power_draw_w|run_id|sm_clock_mhz|temperature_c|timestamp_epoch|timestamp_utc|workload_label
data/adversarial_A_util_modulation_NVIDIA_GeForce_RTX_5080_a74f7e26_20260410_141125.parquet,data,adversarial_A_util_modulation_NVIDIA_GeForce_RTX_5080_a74f7e26_20260410_141125,305,adversarial_A_util_modulation,NVIDIA GeForce RTX 5080,a74f7e26c3cb,ml_training,20,0,decoder_util_pct|driver_version|encoder_util_pct|fan_speed_pct|gpu_name|gpu_utilization_pct|gpu_uuid|mem_clock_mhz|mem_total_mb|mem_used_mb|mem_utilization_pct|pcie_rx_mbps|pcie_tx_mbps|power_draw_w|run_id|sm_clock_mhz|temperature_c|timestamp_epoch|timestamp_utc|workload_label
data/adversarial_B_low_util_AMD_Radeon_RX_9070_XT_451a156d_20260514_231748.parquet,data,adversarial_B_low_util_AMD_Radeon_RX_9070_XT_451a156d_20260514_231748,311,adversarial_B_low_util,AMD Radeon RX 9070 XT,451a156dd219,ml_training,26,0,decoder_util_pct|driver_version|encoder_util_pct|fan_speed_pct|gpu_name|gpu_utilization_pct|gpu_uuid|mem_clock_mhz|mem_total_mb|mem_used_mb|mem_utilization_pct|mm_combined|pcie_rx_mbps|pcie_tx_mbps|power_draw_w|power_limit_w|run_id|sm_clock_mhz|temperature_c|temperature_hotspot_c|temperature_vram_c|throttle_status|timestamp_epoch|timestamp_utc|vendor|workload_label
data/adversarial_B_low_util_AMD_Radeon_RX_9070_XT_86ec914e_20260514_161855.parquet,data,adversarial_B_low_util_AMD_Radeon_RX_9070_XT_86ec914e_20260514_161855,311,adversarial_B_low_util,AMD Radeon RX 9070 XT,86ec914ef013,ml_training,26,0,decoder_util_pct|driver_version|encoder_util_pct|fan_speed_pct|gpu_name|gpu_utilization_pct|gpu_uuid|mem_clock_mhz|mem_total_mb|mem_used_mb|mem_utilization_pct|mm_combined|pcie_rx_mbps|pcie_tx_mbps|power_draw_w|power_limit_w|run_id|sm_clock_mhz|temperature_c|temperature_hotspot_c|temperature_vram_c|throttle_status|timestamp_epoch|timestamp_utc|vendor|workload_label
data/adversarial_B_low_util_AMD_Radeon_RX_9070_XT_b2e6122a_20260514_231238.parquet,data,adversarial_B_low_util_AMD_Radeon_RX_9070_XT_b2e6122a_20260514_231238,311,adversarial_B_low_util,AMD Radeon RX 9070 XT,b2e6122aaf3f,ml_training,26,0,decoder_util_pct|driver_version|encoder_util_pct|fan_speed_pct|gpu_name|gpu_utilization_pct|gpu_uuid|mem_clock_mhz|mem_total_mb|mem_used_mb|mem_utilization_pct|mm_combined|pcie_rx_mbps|pcie_tx_mbps|power_draw_w|power_limit_w|run_id|sm_clock_mhz|temperature_c|temperature_hotspot_c|temperature_vram_c|throttle_status|timestamp_epoch|timestamp_utc|vendor|workload_label
data/adversarial_B_low_util_NVIDIA_GeForce_RTX_4050_Laptop_GPU_158c6db4_20260410_081702.parquet,data,adversarial_B_low_util_NVIDIA_GeForce_RTX_4050_Laptop_GPU_158c6db4_20260410_081702,7,adversarial_B_low_util,NVIDIA GeForce RTX 4050 Laptop GPU,158c6db4cb13,ml_training,20,0,decoder_util_pct|driver_version|encoder_util_pct|fan_speed_pct|gpu_name|gpu_utilization_pct|gpu_uuid|mem_clock_mhz|mem_total_mb|mem_used_mb|mem_utilization_pct|pcie_rx_mbps|pcie_tx_mbps|power_draw_w|run_id|sm_clock_mhz|temperature_c|timestamp_epoch|timestamp_utc|workload_label
data/adversarial_B_low_util_NVIDIA_GeForce_RTX_4050_Laptop_GPU_b3c1bbbd_20260410_081643.parquet,data,adversarial_B_low_util_NVIDIA_GeForce_RTX_4050_Laptop_GPU_b3c1bbbd_20260410_081643,7,adversarial_B_low_util,NVIDIA GeForce RTX 4050 Laptop GPU,b3c1bbbd5720,ml_training,20,0,decoder_util_pct|driver_version|encoder_util_pct|fan_speed_pct|gpu_name|gpu_utilization_pct|gpu_uuid|mem_clock_mhz|mem_total_mb|mem_used_mb|mem_utilization_pct|pcie_rx_mbps|pcie_tx_mbps|power_draw_w|run_id|sm_clock_mhz|temperature_c|timestamp_epoch|timestamp_utc|workload_label
data/adversarial_B_low_util_NVIDIA_GeForce_RTX_4050_Laptop_GPU_c88ee37c_20260410_081719.parquet,data,adversarial_B_low_util_NVIDIA_GeForce_RTX_4050_Laptop_GPU_c88ee37c_20260410_081719,7,adversarial_B_low_util,NVIDIA GeForce RTX 4050 Laptop GPU,c88ee37c6002,ml_training,20,0,decoder_util_pct|driver_version|encoder_util_pct|fan_speed_pct|gpu_name|gpu_utilization_pct|gpu_uuid|mem_clock_mhz|mem_total_mb|mem_used_mb|mem_utilization_pct|pcie_rx_mbps|pcie_tx_mbps|power_draw_w|run_id|sm_clock_mhz|temperature_c|timestamp_epoch|timestamp_utc|workload_label
data/adversarial_B_low_util_NVIDIA_GeForce_RTX_5080_06806384_20260410_141648.parquet,data,adversarial_B_low_util_NVIDIA_GeForce_RTX_5080_06806384_20260410_141648,304,adversarial_B_low_util,NVIDIA GeForce RTX 5080,0680638463b8,ml_training,20,0,decoder_util_pct|driver_version|encoder_util_pct|fan_speed_pct|gpu_name|gpu_utilization_pct|gpu_uuid|mem_clock_mhz|mem_total_mb|mem_used_mb|mem_utilization_pct|pcie_rx_mbps|pcie_tx_mbps|power_draw_w|run_id|sm_clock_mhz|temperature_c|timestamp_epoch|timestamp_utc|workload_label
data/adversarial_B_low_util_NVIDIA_GeForce_RTX_5080_773b5da4_20260410_142210.parquet,data,adversarial_B_low_util_NVIDIA_GeForce_RTX_5080_773b5da4_20260410_142210,304,adversarial_B_low_util,NVIDIA GeForce RTX 5080,773b5da4abdd,ml_training,20,0,decoder_util_pct|driver_version|encoder_util_pct|fan_speed_pct|gpu_name|gpu_utilization_pct|gpu_uuid|mem_clock_mhz|mem_total_mb|mem_used_mb|mem_utilization_pct|pcie_rx_mbps|pcie_tx_mbps|power_draw_w|run_id|sm_clock_mhz|temperature_c|timestamp_epoch|timestamp_utc|workload_label
data/adversarial_B_low_util_NVIDIA_GeForce_RTX_5080_c30f6c60_20260410_142732.parquet,data,adversarial_B_low_util_NVIDIA_GeForce_RTX_5080_c30f6c60_20260410_142732,305,adversarial_B_low_util,NVIDIA GeForce RTX 5080,c30f6c60057b,ml_training,20,0,decoder_util_pct|driver_version|encoder_util_pct|fan_speed_pct|gpu_name|gpu_utilization_pct|gpu_uuid|mem_clock_mhz|mem_total_mb|mem_used_mb|mem_utilization_pct|pcie_rx_mbps|pcie_tx_mbps|power_draw_w|run_id|sm_clock_mhz|temperature_c|timestamp_epoch|timestamp_utc|workload_label
data/adversarial_B_low_util_NVIDIA_GeForce_RTX_5080_f90590c5_20260411_222035.parquet,data,adversarial_B_low_util_NVIDIA_GeForce_RTX_5080_f90590c5_20260411_222035,304,adversarial_B_low_util,NVIDIA GeForce RTX 5080,f90590c5361d,ml_training,20,0,decoder_util_pct|driver_version|encoder_util_pct|fan_speed_pct|gpu_name|gpu_utilization_pct|gpu_uuid|mem_clock_mhz|mem_total_mb|mem_used_mb|mem_utilization_pct|pcie_rx_mbps|pcie_tx_mbps|power_draw_w|run_id|sm_clock_mhz|temperature_c|timestamp_epoch|timestamp_utc|workload_label
data/adversarial_D_temporal_disruption_AMD_Radeon_RX_9070_XT_ab636143_20260514_162406.parquet,data,adversarial_D_temporal_disruption_AMD_Radeon_RX_9070_XT_ab636143_20260514_162406,314,adversarial_D_temporal_disruption,AMD Radeon RX 9070 XT,ab636143f7e3,ml_training,26,0,decoder_util_pct|driver_version|encoder_util_pct|fan_speed_pct|gpu_name|gpu_utilization_pct|gpu_uuid|mem_clock_mhz|mem_total_mb|mem_used_mb|mem_utilization_pct|mm_combined|pcie_rx_mbps|pcie_tx_mbps|power_draw_w|power_limit_w|run_id|sm_clock_mhz|temperature_c|temperature_hotspot_c|temperature_vram_c|throttle_status|timestamp_epoch|timestamp_utc|vendor|workload_label
data/adversarial_D_temporal_disruption_AMD_Radeon_RX_9070_XT_cc196ee9_20260514_232259.parquet,data,adversarial_D_temporal_disruption_AMD_Radeon_RX_9070_XT_cc196ee9_20260514_232259,314,adversarial_D_temporal_disruption,AMD Radeon RX 9070 XT,cc196ee99a4a,ml_training,26,0,decoder_util_pct|driver_version|encoder_util_pct|fan_speed_pct|gpu_name|gpu_utilization_pct|gpu_uuid|mem_clock_mhz|mem_total_mb|mem_used_mb|mem_utilization_pct|mm_combined|pcie_rx_mbps|pcie_tx_mbps|power_draw_w|power_limit_w|run_id|sm_clock_mhz|temperature_c|temperature_hotspot_c|temperature_vram_c|throttle_status|timestamp_epoch|timestamp_utc|vendor|workload_label
data/adversarial_D_temporal_disruption_AMD_Radeon_RX_9070_XT_fe43667c_20260514_232812.parquet,data,adversarial_D_temporal_disruption_AMD_Radeon_RX_9070_XT_fe43667c_20260514_232812,314,adversarial_D_temporal_disruption,AMD Radeon RX 9070 XT,fe43667ca66e,ml_training,26,0,decoder_util_pct|driver_version|encoder_util_pct|fan_speed_pct|gpu_name|gpu_utilization_pct|gpu_uuid|mem_clock_mhz|mem_total_mb|mem_used_mb|mem_utilization_pct|mm_combined|pcie_rx_mbps|pcie_tx_mbps|power_draw_w|power_limit_w|run_id|sm_clock_mhz|temperature_c|temperature_hotspot_c|temperature_vram_c|throttle_status|timestamp_epoch|timestamp_utc|vendor|workload_label
data/adversarial_D_temporal_disruption_NVIDIA_GeForce_RTX_4050_Laptop_GPU_4144d7a2_20260410_081738.parquet,data,adversarial_D_temporal_disruption_NVIDIA_GeForce_RTX_4050_Laptop_GPU_4144d7a2_20260410_081738,6,adversarial_D_temporal_disruption,NVIDIA GeForce RTX 4050 Laptop GPU,4144d7a28d48,ml_training,20,0,decoder_util_pct|driver_version|encoder_util_pct|fan_speed_pct|gpu_name|gpu_utilization_pct|gpu_uuid|mem_clock_mhz|mem_total_mb|mem_used_mb|mem_utilization_pct|pcie_rx_mbps|pcie_tx_mbps|power_draw_w|run_id|sm_clock_mhz|temperature_c|timestamp_epoch|timestamp_utc|workload_label
data/adversarial_D_temporal_disruption_NVIDIA_GeForce_RTX_4050_Laptop_GPU_8d22d965_20260410_081814.parquet,data,adversarial_D_temporal_disruption_NVIDIA_GeForce_RTX_4050_Laptop_GPU_8d22d965_20260410_081814,7,adversarial_D_temporal_disruption,NVIDIA GeForce RTX 4050 Laptop GPU,8d22d965e8fd,ml_training,20,0,decoder_util_pct|driver_version|encoder_util_pct|fan_speed_pct|gpu_name|gpu_utilization_pct|gpu_uuid|mem_clock_mhz|mem_total_mb|mem_used_mb|mem_utilization_pct|pcie_rx_mbps|pcie_tx_mbps|power_draw_w|run_id|sm_clock_mhz|temperature_c|timestamp_epoch|timestamp_utc|workload_label
data/adversarial_D_temporal_disruption_NVIDIA_GeForce_RTX_4050_Laptop_GPU_9c487964_20260410_081756.parquet,data,adversarial_D_temporal_disruption_NVIDIA_GeForce_RTX_4050_Laptop_GPU_9c487964_20260410_081756,7,adversarial_D_temporal_disruption,NVIDIA GeForce RTX 4050 Laptop GPU,9c487964a2a1,ml_training,20,0,decoder_util_pct|driver_version|encoder_util_pct|fan_speed_pct|gpu_name|gpu_utilization_pct|gpu_uuid|mem_clock_mhz|mem_total_mb|mem_used_mb|mem_utilization_pct|pcie_rx_mbps|pcie_tx_mbps|power_draw_w|run_id|sm_clock_mhz|temperature_c|timestamp_epoch|timestamp_utc|workload_label
data/adversarial_D_temporal_disruption_NVIDIA_GeForce_RTX_5080_1f75ac8f_20260410_143255.parquet,data,adversarial_D_temporal_disruption_NVIDIA_GeForce_RTX_5080_1f75ac8f_20260410_143255,312,adversarial_D_temporal_disruption,NVIDIA GeForce RTX 5080,1f75ac8f64cf,ml_training,20,0,decoder_util_pct|driver_version|encoder_util_pct|fan_speed_pct|gpu_name|gpu_utilization_pct|gpu_uuid|mem_clock_mhz|mem_total_mb|mem_used_mb|mem_utilization_pct|pcie_rx_mbps|pcie_tx_mbps|power_draw_w|run_id|sm_clock_mhz|temperature_c|timestamp_epoch|timestamp_utc|workload_label
data/adversarial_D_temporal_disruption_NVIDIA_GeForce_RTX_5080_6c2c8b77_20260411_222558.parquet,data,adversarial_D_temporal_disruption_NVIDIA_GeForce_RTX_5080_6c2c8b77_20260411_222558,309,adversarial_D_temporal_disruption,NVIDIA GeForce RTX 5080,6c2c8b77db22,ml_training,20,0,decoder_util_pct|driver_version|encoder_util_pct|fan_speed_pct|gpu_name|gpu_utilization_pct|gpu_uuid|mem_clock_mhz|mem_total_mb|mem_used_mb|mem_utilization_pct|pcie_rx_mbps|pcie_tx_mbps|power_draw_w|run_id|sm_clock_mhz|temperature_c|timestamp_epoch|timestamp_utc|workload_label
data/adversarial_D_temporal_disruption_NVIDIA_GeForce_RTX_5080_89eb90ea_20260410_144354.parquet,data,adversarial_D_temporal_disruption_NVIDIA_GeForce_RTX_5080_89eb90ea_20260410_144354,310,adversarial_D_temporal_disruption,NVIDIA GeForce RTX 5080,89eb90eab7fa,ml_training,20,0,decoder_util_pct|driver_version|encoder_util_pct|fan_speed_pct|gpu_name|gpu_utilization_pct|gpu_uuid|mem_clock_mhz|mem_total_mb|mem_used_mb|mem_utilization_pct|pcie_rx_mbps|pcie_tx_mbps|power_draw_w|run_id|sm_clock_mhz|temperature_c|timestamp_epoch|timestamp_utc|workload_label
data/adversarial_D_temporal_disruption_NVIDIA_GeForce_RTX_5080_ab5a5563_20260417_161855.parquet,data,adversarial_D_temporal_disruption_NVIDIA_GeForce_RTX_5080_ab5a5563_20260417_161855,310,adversarial_D_temporal_disruption,NVIDIA GeForce RTX 5080,ab5a556306ec,ml_training,20,0,decoder_util_pct|driver_version|encoder_util_pct|fan_speed_pct|gpu_name|gpu_utilization_pct|gpu_uuid|mem_clock_mhz|mem_total_mb|mem_used_mb|mem_utilization_pct|pcie_rx_mbps|pcie_tx_mbps|power_draw_w|run_id|sm_clock_mhz|temperature_c|timestamp_epoch|timestamp_utc|workload_label
data/adversarial_D_temporal_disruption_NVIDIA_GeForce_RTX_5080_dd277364_20260410_143825.parquet,data,adversarial_D_temporal_disruption_NVIDIA_GeForce_RTX_5080_dd277364_20260410_143825,311,adversarial_D_temporal_disruption,NVIDIA GeForce RTX 5080,dd277364c9e1,ml_training,20,0,decoder_util_pct|driver_version|encoder_util_pct|fan_speed_pct|gpu_name|gpu_utilization_pct|gpu_uuid|mem_clock_mhz|mem_total_mb|mem_used_mb|mem_utilization_pct|pcie_rx_mbps|pcie_tx_mbps|power_draw_w|run_id|sm_clock_mhz|temperature_c|timestamp_epoch|timestamp_utc|workload_label
