level,group,cls,n_win,acc
coarse,evade.dilution,1,663,0.9607843137254902
coarse,evade.mimicry,1,246,0.8373983739837398
coarse,evade.online,1,60,1.0
coarse,evade.symgemm-control,0,190,0.1368421052631579
coarse,evade.symgemm-train,1,190,0.6894736842105263
coarse,evade.util-shaping,1,51,1.0
coarse,evade.whitebox,1,40,0.975
coarse,infer.llm,0,1751,0.067390062821245
coarse,infer.vision,0,59,0.1016949152542373
coarse,infer.whitebox-control,0,100,0.42
coarse,other.fabric-bench,0,11,0.36363636363636365
coarse,other.hpc,0,175,0.96
coarse,other.idle,0,104,0.3557692307692308
coarse,other.media,0,51,0.27450980392156865
coarse,other.mining,0,111,0.0
coarse,other.sweep,0,10,0.0
coarse,other.unmapped,1,3,0.6666666666666666
coarse,train.ddp,1,2162,0.9782608695652174
coarse,train.fsdp,1,1240,0.5766129032258065
coarse,train.lora-finetune,1,570,0.28421052631578947
coarse,train.rl,1,60,0.3333333333333333
coarse,train.small-supervised,1,199,0.4623115577889447
