level,group,cls,n_win,acc
family,adversarial_e_memory_minimal,1,51,1.0
family,adversarial_f_interleave,1,132,1.0
family,adversarial_g_clock_throttled,1,51,1.0
family,adversarial_h_mimicry_cufft,1,52,0.7884615384615384
family,adversarial_h_mimicry_mining,1,61,1.0
family,adversarial_i_stochastic,1,81,0.9753086419753086
family,adversarial_j_pid,1,52,1.0
family,adversarial_k_ddp,1,720,1.0
family,adversarial_k_online_learning,1,60,1.0
family,adversarial_l_ddp,1,720,0.975
family,adversarial_l_diluted,1,350,0.9314285714285714
family,adversarial_training,1,3,0.6666666666666666
family,batch_size_sweep,0,2,0.5
family,bert_finetune,1,3,0.3333333333333333
family,bert_sst2,1,22,0.8181818181818182
family,cufft_benchmark,0,113,1.0
family,cufft_hpc,0,3,1.0
family,ddp_resnet18_cifar10,1,480,0.9958333333333333
family,ddp_resnet50_cifar10,1,240,1.0
family,ddp_training,1,2,1.0
family,fsdp,1,1240,0.5766129032258065
family,gpt2_finetune,1,3,0.3333333333333333
family,gpt2_wikitext2,1,45,0.8222222222222222
family,idle,0,104,0.3557692307692308
family,inference,0,3,0.6666666666666666
family,llm_infer_deepseek_v3,0,240,0.6
family,llm_infer_mistral,0,169,0.7514792899408284
family,llm_infer_mixtral_8x7b,0,60,1.0
family,llm_infer_phi3,0,100,0.99
family,llm_infer_qwen25,0,822,0.7761557177615572
family,llm_infer_sdxl,0,90,0.0
family,llm_infer_tinyllama,0,180,0.9222222222222223
family,llm_infer_vit_l,0,90,0.9222222222222223
family,llm_train_mistral_7b_lora,1,60,0.9833333333333333
family,llm_train_phi3_mini_lora,1,60,1.0
family,llm_train_qwen25_1p5b_lora,1,60,0.9833333333333333
family,llm_train_qwen25_3b_lora,1,60,0.95
family,llm_train_smollm2_1p7b_lora,1,60,0.9666666666666667
family,mining_ethash_proxy,0,110,0.0
family,mining_proxy,0,1,0.0
family,mlp_training,1,1,1.0
family,modern_inference,0,3,1.0
family,nbody_sim,0,56,1.0
family,nvlink_bandwidth,0,4,0.5
family,nvlink_latency,0,4,0.25
family,nvlink_p2p,0,3,1.0
family,ppo_rlhf,1,60,0.3333333333333333
family,pytorch_mlp_cifar10,1,38,0.9736842105263158
family,pytorch_resnet_cifar10,1,71,0.5633802816901409
family,pytorch_training,1,3,1.0
family,rendering,0,1,0.0
family,rendering_proxy,0,50,0.2
family,resnet,0,6,0.0
family,resnet50_inference,0,53,0.0
family,scientific_hpc,0,3,1.0
family,symgemm_decode_g256,0,30,0.0
family,symgemm_idle,0,10,0.1
family,symgemm_l0_fwd1,0,40,0.975
family,symgemm_l1_fwd3,0,50,0.94
family,symgemm_l1_fwd3_m8192,0,20,0.85
family,symgemm_l3_graddiscard,0,40,0.0
family,symgemm_l4_sgdfused,1,50,0.2
family,symgemm_l4_sgdfused_long1b,1,10,0.7
family,symgemm_l4_sgdfused_m8192,1,20,0.95
family,symgemm_l4_sgdfused_short7b,1,10,0.9
family,symgemm_l5_adam,1,40,1.0
family,symgemm_ppo_fused,1,60,0.9333333333333333
family,training_dual_gpu,1,8,0.75
family,training_single_gpu,1,5,0.2
family,whitebox_diluted,1,130,0.9846153846153847
family,whitebox_inference,0,90,0.5222222222222223
family,whitebox_inference_1b_matched,0,10,0.8
family,whitebox_lora,1,270,0.43703703703703706
family,whitebox_oracle,1,40,0.975
family,width_sweep,0,2,1.0
