cond,knob,x,sample_hz,width,skew_ms,read_us,d_auc,d_lo,d_hi,resolved
ceiling,control,,50.0,64,0.0,0.0,0.0,0.0,0.0,False
null_dup,control,,50.0,64,0.0,0.0,3.7007434154171887e-19,0.0,0.0,False
hz0.2_w64,sample_hz,0.2,0.2,64,1.0,80.0,-0.32373913537493587,-0.5746693796566246,-0.026955487055933376,True
hz0.2_w32,sample_hz,0.2,0.2,32,1.0,80.0,-0.5022469207124288,-0.8664613777609809,-0.11221138629062752,True
hz0.5_w64,sample_hz,0.5,0.5,64,1.0,80.0,-0.030927692176257255,-0.07719316893424043,0.0036175392776158716,False
hz0.5_w32,sample_hz,0.5,0.5,32,1.0,80.0,-0.18985274587127624,-0.4571853741496599,0.028347370694309277,False
hz1_w64,sample_hz,1.0,1.0,64,1.0,80.0,-0.1127952077935485,-0.3524345415249433,0.01767998866213145,False
hz1_w32,sample_hz,1.0,1.0,32,1.0,80.0,-0.10125993624278185,-0.36334246661627617,0.07853539034661478,False
hz2_w64,sample_hz,2.0,2.0,64,1.0,80.0,-0.01347295697613396,-0.226346878036929,0.1881441326530609,False
hz2_w32,sample_hz,2.0,2.0,32,1.0,80.0,-0.082462800771864,-0.33024265063168123,0.11405029604434358,False
hz5_w64,sample_hz,5.0,5.0,64,1.0,80.0,-0.03357350308482916,-0.23629180839002267,0.12916797142137273,False
hz5_w32,sample_hz,5.0,5.0,32,1.0,80.0,-0.3007353306356814,-0.5207863874716553,-0.051955782312925206,True
hz10_w64,sample_hz,10.0,10.0,64,1.0,80.0,-0.12101452864929577,-0.3683974631519274,0.017541302235179693,False
hz10_w32,sample_hz,10.0,10.0,32,1.0,80.0,-0.23007379005360634,-0.5458236151603498,-0.003732934145880526,True
hz20_w64,sample_hz,20.0,20.0,64,1.0,80.0,0.03465901115987921,0.0,0.1802024619371558,False
hz20_w32,sample_hz,20.0,20.0,32,1.0,80.0,-0.0283545054950124,-0.20838057445200311,0.12488155976676384,False
hz50_w64,sample_hz,50.0,50.0,64,1.0,80.0,-0.11245522687189355,-0.3436607142857144,0.0,False
hz50_w32,sample_hz,50.0,50.0,32,1.0,80.0,0.005045467969067259,-0.07248858339632153,0.1551437479753806,False
skew0.0ms,clock_skew_ms,0.0,10.0,64,0.0,80.0,-0.11394056872421625,-0.34176823507180654,0.017541302235179693,False
skew1.0ms,clock_skew_ms,1.0,10.0,64,1.0,80.0,-0.12101452864929577,-0.3683974631519274,0.017541302235179693,False
skew10.0ms,clock_skew_ms,10.0,10.0,64,10.0,80.0,-0.0934842380569953,-0.30140559199870426,0.01763848396501455,False
skew100.0ms,clock_skew_ms,100.0,10.0,64,100.0,80.0,-0.01238364777478654,-0.125466472303207,0.1230393586005832,False
skew1000.0ms,clock_skew_ms,1000.0,10.0,64,1000.0,80.0,-0.14019691667284734,-0.34517735665694854,0.002602040816326528,False
read0us,read_skew_us,0.0,10.0,64,1.0,0.0,0.019277667111083096,-0.043009889140841605,0.1560579311089515,False
read100us,read_skew_us,100.0,10.0,64,1.0,100.0,0.017800214698841153,-0.0483864233524096,0.15431075207860923,False
read1000us,read_skew_us,1000.0,10.0,64,1.0,1000.0,-0.004085106514179896,-0.15595624613481765,0.1183691016088972,False
read10000us,read_skew_us,10000.0,10.0,64,1.0,10000.0,0.00203780654861884,-0.15899376417233557,0.10956349206349197,False
