family,cls,mean_score,n,cond
ddp_7b,training,0.7662614339094626,42,ceiling
fsdp_tp_70b,training,0.9999606875800938,42,ceiling
fsdp_tp_32b,training,0.999880571733153,42,ceiling
pp_train_70b,training,0.999949400986201,42,ceiling
moe_train,training,0.7899258811817537,42,ceiling
diloco_13b,training,0.6395115047284291,42,ceiling
gradacc_32b,training,0.9999992239109435,42,ceiling
pp_serve_70b,serving,0.3009374109212002,42,ceiling
pp_serve_32b,serving,0.0039048845512848133,42,ceiling
moe_serve,serving,0.9264835022352229,42,ceiling
disagg_70b,serving,0.0001271144874288565,42,ceiling
coloc_70b,serving,0.053546978099806596,42,ceiling
ddp_7b,training,0.7538828948169237,42,null_dup
fsdp_tp_70b,training,0.9999559194966746,42,null_dup
fsdp_tp_32b,training,0.9998660686810223,42,null_dup
pp_train_70b,training,0.9999454771658111,42,null_dup
moe_train,training,0.8023879186766458,42,null_dup
diloco_13b,training,0.6394904428054841,42,null_dup
gradacc_32b,training,0.9999994721036626,42,null_dup
pp_serve_70b,serving,0.2791520943810161,42,null_dup
pp_serve_32b,serving,0.004390156184721182,42,null_dup
moe_serve,serving,0.9180031709861034,42,null_dup
disagg_70b,serving,0.00014933249015149018,42,null_dup
coloc_70b,serving,0.04693417252790642,42,null_dup
ddp_7b,training,0.0,42,hz0.2_w64
fsdp_tp_70b,training,0.9039522281382636,42,hz0.2_w64
fsdp_tp_32b,training,0.9195919459983932,42,hz0.2_w64
pp_train_70b,training,0.8932680811839272,42,hz0.2_w64
moe_train,training,0.9189613215972778,42,hz0.2_w64
diloco_13b,training,0.00045486201448989474,42,hz0.2_w64
gradacc_32b,training,0.9759565972149514,42,hz0.2_w64
pp_serve_70b,serving,0.5579665444041759,42,hz0.2_w64
pp_serve_32b,serving,0.2859615047422176,42,hz0.2_w64
moe_serve,serving,0.9974043374848823,42,hz0.2_w64
disagg_70b,serving,0.007871324577606798,42,hz0.2_w64
coloc_70b,serving,0.006038321737202481,42,hz0.2_w64
ddp_7b,training,0.00043004492973536804,42,hz0.2_w32
fsdp_tp_70b,training,0.4989877496528695,42,hz0.2_w32
fsdp_tp_32b,training,0.6336074015369849,42,hz0.2_w32
pp_train_70b,training,0.5886465185702071,42,hz0.2_w32
moe_train,training,0.5433002254574837,42,hz0.2_w32
diloco_13b,training,0.6720797642598819,42,hz0.2_w32
gradacc_32b,training,0.30360409058955024,42,hz0.2_w32
pp_serve_70b,serving,0.9282265761048624,42,hz0.2_w32
pp_serve_32b,serving,0.7712580750446227,42,hz0.2_w32
moe_serve,serving,0.7728761102876344,42,hz0.2_w32
disagg_70b,serving,0.03987004537247431,42,hz0.2_w32
coloc_70b,serving,0.003696606172459656,42,hz0.2_w32
ddp_7b,training,0.35370300057915033,42,hz0.5_w64
fsdp_tp_70b,training,0.9961479848395701,42,hz0.5_w64
fsdp_tp_32b,training,0.9841256143429915,42,hz0.5_w64
pp_train_70b,training,0.9639555941108756,42,hz0.5_w64
moe_train,training,0.598488696533477,42,hz0.5_w64
diloco_13b,training,0.6179692536430256,42,hz0.5_w64
gradacc_32b,training,0.9995673709754598,42,hz0.5_w64
pp_serve_70b,serving,0.20783517832235215,42,hz0.5_w64
pp_serve_32b,serving,0.0256971656069946,42,hz0.5_w64
moe_serve,serving,0.9111506238283512,42,hz0.5_w64
disagg_70b,serving,0.0001179057464710573,42,hz0.5_w64
coloc_70b,serving,0.1829462746673498,42,hz0.5_w64
ddp_7b,training,0.9999966692515198,42,hz0.5_w32
fsdp_tp_70b,training,0.5782893908651088,42,hz0.5_w32
fsdp_tp_32b,training,0.4740501166488042,42,hz0.5_w32
pp_train_70b,training,0.4891386219877688,42,hz0.5_w32
moe_train,training,0.2535738679529893,42,hz0.5_w32
diloco_13b,training,0.6634528719998223,42,hz0.5_w32
gradacc_32b,training,0.9977406671040269,42,hz0.5_w32
pp_serve_70b,serving,0.7743897011835078,42,hz0.5_w32
pp_serve_32b,serving,0.22507028581351746,42,hz0.5_w32
moe_serve,serving,0.9363640943337767,42,hz0.5_w32
disagg_70b,serving,0.009025428258727432,42,hz0.5_w32
coloc_70b,serving,0.003589078175465514,42,hz0.5_w32
ddp_7b,training,0.0,42,hz1_w64
fsdp_tp_70b,training,0.9987606508150129,42,hz1_w64
fsdp_tp_32b,training,0.9833591399879718,42,hz1_w64
pp_train_70b,training,0.9964544878683232,42,hz1_w64
moe_train,training,0.5908831328845876,42,hz1_w64
diloco_13b,training,0.5595385917999524,42,hz1_w64
gradacc_32b,training,0.9959180444537024,42,hz1_w64
pp_serve_70b,serving,0.2662590468980474,42,hz1_w64
pp_serve_32b,serving,0.009177114707267906,42,hz1_w64
moe_serve,serving,0.7702520968050289,42,hz1_w64
disagg_70b,serving,5.6876391689487535e-05,42,hz1_w64
coloc_70b,serving,0.167770980256234,42,hz1_w64
ddp_7b,training,9.666526380886676e-09,42,hz1_w32
fsdp_tp_70b,training,0.9990798261336715,42,hz1_w32
fsdp_tp_32b,training,0.9838546434678455,42,hz1_w32
pp_train_70b,training,0.9977859772406118,42,hz1_w32
moe_train,training,0.14629209658913428,42,hz1_w32
diloco_13b,training,0.7316759377386377,42,hz1_w32
gradacc_32b,training,0.9996704614421532,42,hz1_w32
pp_serve_70b,serving,0.12845408123105134,42,hz1_w32
pp_serve_32b,serving,0.03216604370305221,42,hz1_w32
moe_serve,serving,0.5972275227727976,42,hz1_w32
disagg_70b,serving,0.0016783317996822411,42,hz1_w32
coloc_70b,serving,0.006606962505564281,42,hz1_w32
ddp_7b,training,1.0,42,hz2_w64
fsdp_tp_70b,training,0.9984559193928142,42,hz2_w64
fsdp_tp_32b,training,0.9988231555968528,42,hz2_w64
pp_train_70b,training,0.9956151932124163,42,hz2_w64
